customer_id,signup_date,region,plan_type,tenure_months,monthly_fee_gbp,support_tickets_90d,last_login_days,nps_score,churned_90d
1,2024-01-28,North,Standard,13,19.25,5,1,-4.0,1
2,2024-06-25,South,Premium,25,30.1,4,20,6.0,0
3,2024-05-17,Scotland,Basic,24,11.43,2,9,7.0,0
4,2024-06-30,North,Basic,26,15.44,3,2,8.0,1
5,2024-12-08,Scotland,Premium,21,32.83,2,7,13.0,0
6,2024-10-06,Midlands,Premium,31,30.42,5,15,22.0,0
7,2024-10-06,Scotland,Standard,30,20.03,1,1,26.0,0
8,2024-12-01,South,Standard,16,23.23,2,25,23.0,0
9,2024-05-26,South,Standard,27,16.65,1,10,19.0,0
10,2024-10-13,South,Basic,6,12.1,1,1,15.0,0
11,2024-11-21,South,Standard,2,21.76,0,8,25.0,0
12,2024-10-19,Wales,Basic,15,12.71,1,18,,0
13,2024-07-15,North,Basic,34,13.82,0,8,20.0,0
14,2024-01-31,Wales,Basic,36,13.58,0,39,5.0,0
15,2024-02-23,Midlands,Basic,30,12.53,1,19,13.0,0
16,2024-12-23,South,Basic,1,12.39,1,3,28.0,0
17,2024-06-10,Midlands,Premium,4,31.89,2,9,23.0,0
18,2024-09-26,South,Basic,9,11.34,0,19,-8.0,0
19,2024-02-14,Midlands,Standard,31,18.73,1,5,39.0,0
20,2024-07-09,North,Premium,7,32.34,0,5,32.0,0
21,2024-01-20,South,Basic,12,13.31,0,25,18.0,0
22,2024-01-07,Midlands,Basic,22,11.47,0,16,23.0,0
23,2024-04-15,Midlands,Premium,31,32.69,3,29,14.0,0
24,2024-03-28,Scotland,Premium,29,29.43,4,8,12.0,0
25,2024-04-15,South,Standard,2,19.32,1,5,24.0,0
26,2024-05-17,Wales,Standard,17,20.68,3,27,,0
27,2024-11-05,Midlands,Premium,33,33.08,0,17,38.0,0
28,2024-06-04,South,Basic,34,10.97,1,5,10.0,1
29,2024-03-30,Scotland,Basic,5,13.51,0,27,0.0,0
30,2024-03-17,North,Premium,26,31.17,2,7,22.0,0
