customer_id,signup_date,region,plan_type,tenure_months,monthly_fee_gbp,support_tickets_90d,last_login_days,nps_score,churned_90d,marketing_channel,device_type,income_band,contract_type,revenue_last_3m_gbp
1,2024-10-09,South,Standard,8,18.59,2,10,29.0,0,Organic search,Mobile,75k+,Monthly,55.77
2,2024-05-31,South,Standard,13,22.32,3,17,8.0,0,Social,Mobile,25-50k,Monthly,66.96
3,2024-04-03,Wales,Standard,1,16.78,0,7,28.0,0,Organic search,Mobile,<25k,Monthly,50.34
4,2024-08-30,South,Standard,34,19.69,0,2,19.0,0,Paid search,Desktop,25-50k,Annual,59.07
5,2024-03-07,Midlands,Standard,30,20.16,0,6,24.0,0,Paid search,Tablet,<25k,Monthly,60.48
6,2024-02-11,North,Standard,4,20.01,1,21,18.0,0,Referral,Tablet,<25k,Monthly,60.03
7,2024-02-02,Scotland,Standard,19,21.89,0,10,33.0,0,Paid search,Mobile,25-50k,Monthly,65.67
8,2024-10-26,Midlands,Premium,29,31.73,2,31,13.0,0,Referral,Mobile,<25k,Monthly,95.19
9,2024-01-01,Scotland,Basic,14,10.6,0,3,4.0,0,Paid search,Mobile,25-50k,Annual,31.8
10,2024-04-06,South,Basic,36,12.21,0,20,24.0,0,Organic search,Desktop,<25k,Annual,36.63
11,2024-09-30,North,Standard,29,17.04,0,4,26.0,0,Referral,Desktop,25-50k,Monthly,51.12
12,2024-10-16,North,Standard,8,19.25,0,4,,0,Social,Mobile,<25k,Monthly,57.75
13,2024-08-24,Midlands,Basic,33,12.69,1,30,11.0,0,Email,Desktop,25-50k,Monthly,38.07
14,2024-02-24,South,Basic,3,9.06,0,29,13.0,0,Paid search,Mobile,50-75k,Annual,27.18
15,2024-05-14,Midlands,Premium,21,30.91,1,7,27.0,0,Paid search,Mobile,<25k,Annual,92.73
16,2024-07-28,Wales,Basic,7,11.86,1,6,16.0,0,Organic search,Tablet,25-50k,Monthly,35.58
17,2024-03-28,Scotland,Basic,26,12.33,0,4,24.0,0,Referral,Mobile,<25k,Monthly,36.99
18,2024-02-24,South,Standard,31,18.28,0,6,31.0,0,Referral,Mobile,<25k,Monthly,54.84
19,2024-09-20,Midlands,Basic,11,9.58,0,10,31.0,0,Paid search,Mobile,25-50k,Annual,28.74
20,2024-01-30,Wales,Basic,33,12.06,0,3,25.0,0,Social,Mobile,25-50k,Monthly,36.18
21,2024-03-04,South,Standard,19,20.66,3,13,12.0,0,Organic search,Desktop,25-50k,Monthly,61.98
22,2024-04-30,North,Standard,14,20.06,3,2,14.0,0,Organic search,Mobile,25-50k,Annual,60.18
23,2024-10-09,South,Standard,30,19.46,1,25,,0,Organic search,Desktop,25-50k,Annual,58.38
24,2024-09-18,North,Premium,13,28.88,0,23,24.0,0,Organic search,Desktop,25-50k,Monthly,86.64
25,2024-04-15,Midlands,Standard,11,18.71,0,7,30.0,0,Organic search,Mobile,25-50k,Monthly,56.13
26,2024-04-07,South,Premium,10,31.37,1,10,33.0,0,Organic search,Mobile,<25k,Annual,94.11
27,2024-04-21,North,Standard,26,18.18,3,12,12.0,0,Organic search,Tablet,25-50k,Monthly,54.54
28,2024-06-30,North,Premium,5,31.19,2,13,24.0,0,Email,Desktop,50-75k,Monthly,93.57
29,2024-12-02,South,Premium,21,31.66,2,8,16.0,0,Paid search,Tablet,<25k,Monthly,94.98
30,2024-11-28,South,Basic,36,10.97,1,12,25.0,0,Paid search,Desktop,<25k,Monthly,32.91
31,2024-01-04,Scotland,Basic,23,12.43,1,1,34.0,0,Organic search,Mobile,25-50k,Annual,37.29
32,2024-11-11,South,Premium,2,33.31,3,19,26.0,1,Referral,Desktop,25-50k,Monthly,66.62
33,2024-02-12,Scotland,Premium,36,33.33,2,7,15.0,0,Paid search,Desktop,25-50k,Monthly,99.99
34,2024-10-19,South,Basic,16,12.5,1,20,16.0,0,Organic search,Desktop,<25k,Monthly,37.5
35,2024-09-20,Scotland,Premium,27,33.18,1,9,24.0,0,Social,Desktop,<25k,Monthly,99.54
36,2024-02-27,North,Standard,16,19.89,0,11,27.0,0,Social,Mobile,<25k,Monthly,59.67
37,2024-08-01,Midlands,Standard,2,21.11,0,12,32.0,0,Email,Desktop,<25k,Monthly,63.33
38,2024-09-08,Scotland,Basic,35,13.18,0,4,21.0,0,Email,Desktop,<25k,Annual,39.54
39,2024-05-28,North,Standard,25,18.96,1,3,26.0,0,Organic search,Desktop,25-50k,Monthly,56.88
40,2024-11-16,South,Basic,31,12.29,0,23,13.0,0,Social,Desktop,25-50k,Annual,36.87
41,2024-09-25,Midlands,Basic,2,11.89,0,37,16.0,0,Email,Tablet,<25k,Annual,35.67
42,2024-06-17,Scotland,Basic,20,9.92,1,5,29.0,0,Paid search,Mobile,50-75k,Annual,29.76
43,2024-02-21,North,Basic,28,10.62,0,13,25.0,0,Email,Mobile,<25k,Monthly,31.86
44,2024-04-02,South,Standard,2,20.77,0,12,9.0,0,Email,Desktop,25-50k,Monthly,62.31
45,2024-10-12,South,Standard,1,20.19,0,8,31.0,0,Organic search,Desktop,50-75k,Monthly,60.57
46,2024-01-05,Midlands,Standard,33,17.89,2,14,27.0,0,Organic search,Desktop,75k+,Monthly,53.67
47,2024-06-09,Wales,Basic,28,11.08,0,18,31.0,0,Organic search,Desktop,<25k,Monthly,33.24
48,2024-05-08,Midlands,Standard,30,20.46,1,8,29.0,0,Social,Desktop,25-50k,Monthly,61.38
49,2024-10-30,South,Basic,8,14.44,0,3,17.0,0,Organic search,Mobile,50-75k,Monthly,43.32
50,2024-09-11,Midlands,Basic,34,12.78,1,10,9.0,0,Organic search,Desktop,25-50k,Annual,38.34
51,2024-11-26,South,Basic,5,13.54,1,11,28.0,1,Referral,Tablet,25-50k,Monthly,0.0
52,2024-10-10,Midlands,Standard,11,18.44,3,5,16.0,0,Paid search,Mobile,25-50k,Monthly,55.32
53,2024-12-08,Midlands,Standard,31,19.78,0,12,16.0,0,Referral,Tablet,25-50k,Monthly,59.34
54,2024-04-21,Scotland,Standard,4,21.43,0,8,23.0,0,Social,Desktop,25-50k,Annual,64.29
55,2024-05-21,North,Basic,24,11.52,1,3,6.0,0,Referral,Desktop,75k+,Annual,34.56
56,2024-06-20,Scotland,Premium,13,32.24,3,3,16.0,1,Email,Mobile,<25k,Monthly,32.24
57,2024-12-16,Scotland,Premium,36,31.57,1,15,21.0,0,Referral,Desktop,25-50k,Monthly,94.71
58,2024-10-20,South,Basic,36,10.71,0,10,11.0,0,Social,Mobile,25-50k,Monthly,32.13
59,2024-11-06,Midlands,Standard,33,18.44,1,10,21.0,0,Organic search,Desktop,50-75k,Monthly,55.32
60,2024-09-22,Midlands,Basic,15,15.2,0,4,4.0,1,Organic search,Desktop,50-75k,Monthly,15.2
61,2024-12-07,Scotland,Standard,10,18.91,0,13,25.0,0,Social,Mobile,25-50k,Monthly,56.73
62,2024-01-04,Wales,Premium,23,30.53,1,5,19.0,0,Referral,Desktop,25-50k,Monthly,91.59
63,2024-10-16,Wales,Basic,1,11.76,1,43,9.0,0,Organic search,Desktop,25-50k,Monthly,35.28
